sequence,state,next_digit,count,total_in_state,observed_p,expected_p,edge,z_score,p_value,pass_bonferroni,model
8,,8,4229,43485,0.097252,0.1,-0.027481,-1.910192,0.056109,False,length1
7,,7,4458,43485,0.102518,0.1,0.025181,1.750343,0.080059,False,length1
2,,2,4256,43485,0.097873,0.1,-0.021272,-1.4786,0.139247,False,length1
5,,5,4407,43485,0.101345,0.1,0.013453,0.935115,0.349729,False,length1
9,,9,4315,43485,0.09923,0.1,-0.007704,-0.535493,0.592309,False,length1
0,,0,4378,43485,0.100678,0.1,0.006784,0.471554,0.637245,False,length1
1,,1,4375,43485,0.100609,0.1,0.006094,0.423599,0.671858,False,length1
4,,4,4366,43485,0.100402,0.1,0.004024,0.279735,0.779681,False,length1
3,,3,4359,43485,0.100241,0.1,0.002415,0.167841,0.866708,False,length1
6,,6,4342,43485,0.099851,0.1,-0.001495,-0.103902,0.917247,False,length1
0-7,0,7,506,4378,0.115578,0.1,0.155779,3.435779,0.000591,False,length2
2-8,2,8,364,4256,0.085526,0.1,-0.144737,-3.147449,0.001647,False,length2
9-8,9,8,380,4315,0.088065,0.1,-0.119351,-2.613338,0.008966,False,length2
1-4,1,4,483,4375,0.1104,0.1,0.104,2.292984,0.021849,False,length2
7-1,7,1,490,4458,0.109915,0.1,0.099148,2.206637,0.027339,False,length2
6-9,6,9,392,4342,0.090281,0.1,-0.09719,-2.134746,0.032782,False,length2
5-7,5,7,481,4407,0.109145,0.1,0.091445,2.023542,0.043017,False,length2
6-4,6,4,470,4342,0.108245,0.1,0.08245,1.810993,0.070142,False,length2
7-8,7,8,410,4458,0.091969,0.1,-0.080305,-1.787276,0.073893,False,length2
4-3,4,3,471,4365,0.107904,0.1,0.079038,1.740627,0.081749,False,length2
2-6,2,6,454,4256,0.106673,0.1,0.066729,1.451096,0.146753,False,length2
0-3,0,3,409,4378,0.093422,0.1,-0.065783,-1.450886,0.146812,False,length2
4-9,4,9,465,4365,0.106529,0.1,0.065292,1.437909,0.15046,False,length2
3-0,3,0,463,4359,0.106217,0.1,0.06217,1.368216,0.171245,False,length2
6-6,6,6,461,4342,0.106172,0.1,0.061723,1.355716,0.17519,False,length2
5-1,5,1,415,4407,0.094168,0.1,-0.058316,-1.290448,0.196895,False,length2
8-5,8,5,399,4229,0.094349,0.1,-0.056515,-1.225061,0.220552,False,length2
0-5,0,5,462,4378,0.105528,0.1,0.055276,1.219147,0.222788,False,length2
8-8,8,8,445,4229,0.105226,0.1,0.052258,1.132797,0.257299,False,length2
9-0,9,0,454,4315,0.105214,0.1,0.052144,1.14175,0.253558,False,length2
5-9-1,5-9,1,70,449,0.155902,0.1,0.55902,3.948474,7.9e-05,False,length3
3-5-8,3-5,8,68,454,0.14978,0.1,0.497797,3.535569,0.000407,False,length3
4-6-6,4-6,6,63,422,0.149289,0.1,0.492891,3.375094,0.000738,False,length3
5-7-9,5-7,9,71,481,0.147609,0.1,0.476091,3.4805,0.0005,False,length3
7-2-1,7-2,1,64,436,0.146789,0.1,0.46789,3.256609,0.001128,False,length3
9-4-2,9-4,2,24,426,0.056338,0.1,-0.43662,-3.00391,0.002665,False,length3
9-4-9,9-4,9,61,426,0.143192,0.1,0.431925,2.97161,0.002962,False,length3
1-0-3,1-0,3,24,420,0.057143,0.1,-0.428571,-2.9277,0.003415,False,length3
6-4-6,6-4,6,29,470,0.061702,0.1,-0.382979,-2.767594,0.005647,False,length3
7-9-9,7-9,9,63,457,0.137856,0.1,0.378556,2.697533,0.006986,False,length3
6-0-7,6-0,7,59,429,0.137529,0.1,0.375291,2.591051,0.009568,False,length3
8-1-6,8-1,6,59,429,0.137529,0.1,0.375291,2.591051,0.009568,False,length3
7-8-3,7-8,3,56,410,0.136585,0.1,0.365854,2.469324,0.013537,False,length3
5-0-7,5-0,7,60,440,0.136364,0.1,0.363636,2.542567,0.011004,False,length3
5-6-4,5-6,4,57,419,0.136038,0.1,0.360382,2.458944,0.013935,False,length3
2-1-2,2-1,2,28,436,0.06422,0.1,-0.357798,-2.490348,0.012762,False,length3
6-1-5,6-1,5,27,417,0.064748,0.1,-0.352518,-2.39954,0.016416,False,length3
3-1-4,3-1,4,58,433,0.133949,0.1,0.339492,2.35479,0.018533,False,length3
4-3-0,4-3,0,63,471,0.133758,0.1,0.33758,2.442111,0.014602,False,length3
9-6-9,9-6,9,29,437,0.066362,0.1,-0.336384,-2.343988,0.019079,False,length3
